zona,enderecos_lista,area,quartos,aluguel
norte,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",23.0,1.0,1600
norte,"Travessa Urbano Do Carmo Curado, Parque Vitória, São Paulo Zona Norte, São Paulo",70.0,2.0,1650
norte,"Avenida Rangel Pestana, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",34.0,1.0,1120
norte,"Rua Zanzibar, Casa Verde, São Paulo Zona Norte, São Paulo",63.0,1.0,3800
norte,"Rua George Chahestian, Vila Basileia, São Paulo Zona Norte, São Paulo",150.0,3.0,2560
norte,"Rua Ezequiel Freire, Santana, São Paulo Zona Norte, São Paulo",80.0,3.0,1800
norte,"Rua Martiniano De Carvalho, Vila Bela Vista (capital Zona Norte), São Paulo Zona Norte, São Paulo",68.0,2.0,2500
norte,"Rua Doutor Zuquim, Santana, São Paulo Zona Norte, São Paulo",240.0,3.0,8200
norte,"Rua Pero De Campos, Água Fria, São Paulo Zona Norte, São Paulo",119.0,3.0,5130
norte,"Avenida Do Guacá, Lauzane Paulista, São Paulo Zona Norte, São Paulo",78.0,3.0,2480
norte,"Rua Areia Do Rosário, Jardim Modelo, São Paulo Zona Norte, São Paulo",48.0,2.0,1580
norte,"R. Pixibas, Vila Gustavo, São Paulo Zona Norte, São Paulo",90.0,1.0,1434
norte,"Rua Doutor Zuquim, Santana, São Paulo Zona Norte, São Paulo",67.0,3.0,3510
norte,"Rua Duarte De Azevedo, Santana, São Paulo Zona Norte, São Paulo",90.0,3.0,2100
norte,"Rua Laranjeira, Jardim Peri, São Paulo Zona Norte, São Paulo",58.0,2.0,1200
norte,"Rua Eduardo Vicente Nasser, Barro Branco, São Paulo Zona Norte, São Paulo",400.0,3.0,11340
norte,"Rua Juan Arfe, Vila Cruz Das Almas, São Paulo Zona Norte, São Paulo",45.0,2.0,1600
norte,"Avenida Parada Pinto, Vila Nova Cachoeirinha, São Paulo Zona Norte, São Paulo",64.0,3.0,2190
norte,"Avenida Rangel Pestana, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",29.0,1.0,1490
norte,"Rua Lídia Coelho, Santana, São Paulo Zona Norte, São Paulo",31.0,1.0,1650
norte,"Rua Francisco Bernardino, Vila Pereira Cerca, São Paulo Zona Norte, São Paulo",250.0,3.0,4000
norte,"Rua Itaiquara, Itaberaba, São Paulo Zona Norte, São Paulo",54.0,2.0,1460
norte,"Avenida Sanatório, Jardim Modelo, São Paulo Zona Norte, São Paulo",59.0,1.0,1250
norte,"Rua Soror Angélica, Vila Ester (zona Norte), São Paulo Zona Norte, São Paulo",90.0,3.0,2220
norte,"Rua Sousa Lopes, Lauzane Paulista, São Paulo Zona Norte, São Paulo",284.0,4.0,6780
norte,"Avenida Zumkeller, Parque Mandaqui, São Paulo Zona Norte, São Paulo",50.0,2.0,1560
norte,"Rua Manuel José De Almeida, Vila Cruz Das Almas, São Paulo Zona Norte, São Paulo",275.0,5.0,3200
norte,"Rua Hanna Abduch, Vila Palmeiras, São Paulo Zona Norte, São Paulo",100.0,3.0,1800
norte,"Rua Alfredo Pujol, Santana, São Paulo Zona Norte, São Paulo",67.0,2.0,1700
norte,"Rua Engenheiro Albano De Azevedo, Vila Primavera, São Paulo Zona Norte, São Paulo",125.0,2.0,2500
norte,"Rua Francisco Da Lira, Jardim Leonor Mendes De Barros, São Paulo Zona Norte, São Paulo",92.0,2.0,1785
norte,"Rua Antônio Campelo, Vila Vitório Mazzei, São Paulo Zona Norte, São Paulo",52.0,2.0,1790
norte,"Rua Eugênio De Freitas, Vila Guilherme, São Paulo Zona Norte, São Paulo",63.0,3.0,2200
norte,"Rua Professor João Machado, Nossa Senhora Do Ó, São Paulo Zona Norte, São Paulo",59.0,2.0,2300
norte,"Rua Casa Forte, Água Fria, São Paulo Zona Norte, São Paulo",300.0,3.0,6000
norte,"Rua Borges, Parada Inglesa, São Paulo Zona Norte, São Paulo",55.0,2.0,1910
norte,"Rua Orindiúva, Vila Maria Alta, São Paulo Zona Norte, São Paulo",50.0,2.0,2000
norte,"Avenida Inajar De Souza, Limão, São Paulo Zona Norte, São Paulo",45.0,2.0,1710
norte,"Avenida Professor Celestino Bourroul, Limão, São Paulo Zona Norte, São Paulo",75.0,2.0,2270
norte,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",90.0,2.0,2300
norte,"Rua Antônio Campelo, Vila Vitório Mazzei, São Paulo Zona Norte, São Paulo",51.0,2.0,1850
norte,"Rua Pixibas, Vila Gustavo, São Paulo Zona Norte, São Paulo",35.0,1.0,1300
norte,"Rua Reims, Jardim Das Laranjeiras, São Paulo Zona Norte, São Paulo",90.0,2.0,2300
norte,"Avenida Itaberaba, Itaberaba, São Paulo Zona Norte, São Paulo",80.0,2.0,1900
norte,"Rua Guanapus, Vila Dom Pedro Ii, São Paulo Zona Norte, São Paulo",78.0,2.0,2000
norte,"Avenida Itaberaba, Nossa Senhora Do Ó, São Paulo Zona Norte, São Paulo",56.0,2.0,2360
norte,"Rua Dos Camarés, Carandiru, São Paulo Zona Norte, São Paulo",49.0,2.0,2200
norte,"Rua Pontins, Santana, São Paulo Zona Norte, São Paulo",240.0,4.0,5500
norte,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",40.0,1.0,2500
norte,"Rua Pedro Madureira, Jardim São Paulo, São Paulo Zona Norte, São Paulo",58.0,2.0,1330
norte,"Rua Anastácio De Souza Pinto, Nossa Senhora Do Ó, São Paulo Zona Norte, São Paulo",75.0,3.0,2210
norte,"Rua Baião Parente, Vila Primavera, São Paulo Zona Norte, São Paulo",80.0,3.0,2300
norte,"Rua Dom Domingos De Silos, Jardim São Bento, São Paulo Zona Norte, São Paulo",400.0,5.0,8680
norte,"Rua Manuel De Arzão, Vila Albertina, São Paulo Zona Norte, São Paulo",250.0,3.0,6000
norte,"Rua Diógenes De Lima, Parque Peruche, São Paulo Zona Norte, São Paulo",350.0,4.0,13000
norte,"Avenida Álvaro Machado Pedrosa, Parada Inglesa, São Paulo Zona Norte, São Paulo",80.0,2.0,1890
norte,"Rua Gonçalves Figueira, Vila Bandeirantes, São Paulo Zona Norte, São Paulo",300.0,2.0,5000
